,magnitude median,magnitude mean
220,3.2803025245666504,8.902161598205566
221,3.3381118774414062,8.896730422973633
222,3.269653797149658,9.08819580078125
223,1.191051796922693e-05,0.007447612937539816
224,3.2852978706359863,9.248489379882812
225,3.0377354621887207,8.469183921813965
226,3.64961576461792,9.755640983581543
227,2.9705727100372314,9.879597663879395
228,3.002412796020508,10.025835037231445
229,9.648245395510457e-06,0.006875590421259403
230,2.945068359375,8.133343696594238
231,3.7846574783325195,9.934295654296875
232,2.29038667678833,7.138316631317139
233,4.660473346710205,10.06783390045166
234,1.0095151083078235e-05,0.007099879439920187
235,3.448349714279175,9.344828605651855
236,3.8653147220611572,9.121127128601074
237,3.298532101325691e-05,0.011295823380351067
238,2.6717185974121094,8.219609260559082
239,2.724973201751709,8.281844139099121
240,2.9533281326293945,9.93854808807373
241,3.5094194412231445,10.452223777770996
242,3.1767587661743164,9.811686515808105
243,1.6145479679107666,6.405919075012207
244,9.033454261953011e-06,0.005286507308483124
245,3.4856951236724854,9.030393600463867
246,1.6192740076803602e-05,0.008166160434484482
247,1.905055046081543,6.785341739654541
248,4.227182865142822,9.981821060180664
249,3.613746166229248,9.654977798461914
250,1.5378947864519432e-05,0.008030987344682217
251,4.229343414306641,9.198803901672363
252,3.8118457794189453,10.15951156616211
253,2.6348187923431396,8.460556030273438
254,3.894929885864258,9.865591049194336
255,1.3401201613305602e-05,0.008424125611782074
256,4.030582427978516,10.022324562072754
257,1.3269904229673557e-05,0.007675863336771727
258,3.8776655197143555,9.76998519897461
259,2.8913774490356445,8.133584022521973
260,2.5839827060699463,8.010932922363281
261,2.6688876152038574,8.315937995910645
262,2.3289084434509277,7.624364852905273
263,1.3935461044311523,5.533834934234619
264,3.0448999404907227,8.62447452545166
265,2.3313777446746826,7.7451019287109375
266,1.0250740160699934e-05,0.006451855413615704
267,1.4078938961029053,5.3620076179504395
268,2.9808578491210938,8.55111026763916
269,3.327686309814453,8.749765396118164
270,1.4550194464391097e-05,0.008224030025303364
271,2.661634922027588,8.568389892578125
272,1.2925054761581123e-05,0.00763848377391696
273,3.788789987564087,9.330901145935059
274,2.4697999954223633,8.516534805297852
275,1.9017701148986816,7.339874744415283
276,1.0074409146909602e-05,0.006399437785148621
277,2.171752452850342,7.665046691894531
278,1.9807045459747314,7.312563896179199
279,3.2344133853912354,8.657374382019043
280,2.1859057596884668e-05,0.010647743009030819
281,1.278844952583313,6.677048206329346
282,1.8216500282287598,7.102883815765381
283,0.9881801009178162,3.6635091304779053
284,3.17110013961792,8.78645133972168
285,1.2226149920024909e-05,0.008197200484573841
286,2.825472354888916,8.788930892944336
287,9.616645911592059e-06,0.0072671109810471535
288,2.6293139457702637,8.810624122619629
289,1.9409855604171753,7.4586710929870605
290,1.6342706680297852,7.54866361618042
291,1.4958946704864502,7.694263935089111
292,1.8454638719558716,7.16126823425293
293,0.950852632522583,4.313345432281494
294,2.482696056365967,9.312980651855469
295,1.5465888977050781,7.3862738609313965
296,8.46501916385023e-06,0.006955727934837341
297,0.7275482416152954,4.572204113006592
298,2.062826156616211,8.85255241394043
299,2.0575308799743652,8.757391929626465
300,1.5479178428649902,7.319680213928223
301,1.0747743844985962,6.470913887023926
